Categoria,Producto,Precio
FrutasVerduras,AUCHAN Lechuga Romana 200 g Producto Alcampo,1.0
FrutasVerduras,Ensalad dúo canónigo y rúcula FLORETTE 100 g.,1.49
FrutasVerduras,Ensalada rúcula FLORETTE PRIMEROS BROTES 100 g.,1.49
FrutasVerduras,Ensalada Xtreme pollo crispy FLORETTE 210 gr.,3.79
FrutasVerduras,FLORETTE Cebolla crujiente ideal para ensalada bolsa de 70 g.,1.0
FrutasVerduras,Picatostes naturales ideal para ensaladas FLORETTE bolsa de 65 g.,1.0
FrutasVerduras,Picatostes César de pan de trigo para ensaladas FLORETTE 70 g.,1.0
FrutasVerduras,Cous cous comida Marroquí TREVIJANO 250 g.,3.49
FrutasVerduras,Zanahoria bolsa de1 kg.,1.0
FrutasVerduras,Cebolla tubo 1 kg,1.53
FrutasVerduras,Brócoli filmado 500 g.,1.25
FrutasVerduras,Pimientos tricolor bandeja de 500 g.,1.99
FrutasVerduras,Pimiento Italiano a granel,1.89
FrutasVerduras,Calabacín malla de 1 kg.,2.69
FrutasVerduras,Cebolla malla de 2 kg.,2.09
FrutasVerduras,Ajos 250 g,1.87
FrutasVerduras,Lechuga iceberg,0.95
FrutasVerduras,Zanahorias bolsa de 500 g.,1.0
FrutasVerduras,Cebolleta blanca manojo de 350 g.,1.64
FrutasVerduras,Patatas lavadas malla 3 kg.,4.64
FrutasVerduras,Cogollos de lechuga bandeja de 3 uds.,1.0
FrutasVerduras,ALCAMPO CULTIVAMOS LO BUENO Patatas para cocer malla 2 kg.,3.99
FrutasVerduras,ALCAMPO CULTIVAMOS LO BUENO Champiñón laminado Bandeja de 250 g.,1.65
FrutasVerduras,"Manojo de espárragos verdes, 250 g.",2.64
FrutasVerduras,Patatas malla de 5 kg.,5.76
FrutasVerduras,Judías verdes malla de 500 g.,1.99
FrutasVerduras,Champiñones con pie cortado barqueta de 250 g.,1.49
Carnes,EL POZO King Crunchy chicken 100 g.,1.0
Carnes,EL POZO La Croquetería Croquetas de pollo 120 g.,1.0
Carnes,EL POZO La Croquetería Croquetas de carrillada de vacuno 120 g.,1.0
Carnes,ELPOZO Nuggets de pollo 100 g.,1.0
Carnes,LORIENTE Chorizo oredado envasado al vacio 160 g.,1.0
Carnes,AUCHAN Contramuslos de pollo fileteado Producto Alcampo.,3.25
Carnes,"Filetes 1ªA de vaca, ideales para plancha o freir",7.18
Carnes,Chuletas de centro de cerdo blanco,5.95
Carnes,"EL POZO Bandeja con preparado de carne picada mixta (vacuno-cerdo), elaborada sin gluten ni lactosa 800 g.",5.95
Carnes,"Entrecot de lomo de vaca, ideal plancha o barbacoa.",9.98
Carnes,"Filetes 1ª A de vaca, ideales para empanar o salsa",7.18
Carnes,"Entrecot de lomo de vaca, ideal para plancha o barbacoa.",6.98
Carnes,"Entrecot de lomo de vaca, especial plancha o barbacoa.",19.95
Carnes,"Escalopines 1ªA de vaca, especiales para plancha.",6.38
Carnes,"Entrecot (corte grueso) de lomo de vaca, especial plancha o barbacoa.",8.98
Carnes,"Chuletón de lomo de vaca, ideal para plancha o barbacoa",11.97
Carnes,"TABLADILLO Cuarto de cochinillo fresco, sin gluten y listo para hornear.",25.43
Carnes,Paletilla de cabrito envasada el vacio NATUSUR 350 g.,15.95
Carnes,VIÑALS Hamburguesa de vacuno 2 x 160g.,5.45
Carnes,VIÑALS Hamburguesa de ternera 2 x 150 g.,5.45
Carnes,VIÑALS Hamburguesa angus 2x150 g.,5.45
Carnes,AUCHAN Pechuga de pollo fileteada 6-8 uds Producto Alcampo.,3.85
Carnes,Filetes de cinta de lomo de categoria extra.,4.48
Carnes,AUCHAN Pechuga pollo XXL. Producto Alcampo,10.44
Carnes,"Bandeja de preparado de carne picada mixta (vacuno-cerdo), elaborada sin gluten ROLER 800 g.",7.99
Carnes,AUCHAN Jamoncitos de pollo 6 uds. Producto Alcampo,3.38
Carnes,AUCHAN Pechugas de pollo enteras Producto Alcampo.,6.58
Carnes,AUCHAN Alita blanqueta partida de pollo. Producto Alcampo,3.64
Carnes,"Chuletas de aguja, ideales para freír",4.52
Carnes,Presa de vacuno raza Wagyu SANTA ROSALIA 200 g.,12.95
Carnes,AUCHAN Cuarto trasero de pollo 2 uds bandeja. Producto Alcampo,2.64
Carnes,AUCHAN Pollo limpio para asar. Producto Alcampo,5.58
Carnes,AUCHAN Contramuslos de pollo 4 uds. Producto Alcampo,2.48
Carnes,Bandeja de hamburguesas mixtas (pavo y pollo) ALDELÍS 4 x 80 g.,3.99
Carnes,Solomillo de pavo bipack envasado al vacío.,7.32
Carnes,Trozo de cinta de lomo,6.26
Carnes,AUCHAN Solomillo pollo bandeja. Producto Alcampo,4.0
Carnes,ROLER Selección Bandeja de preparado de carne picada (burger meat) mixta (vacuno-cerdo) 400 g.,4.75
Carnes,AUCHAN Jamoncitos de pollo 10 uds XXL. Producto Alcampo.,5.31
Carnes,Bandeja de huesos de vacuno envasados,1.98
Carnes,ALCAMPO CULTIVAMOS LO BUENO Pechugas de pollo certificado entera bandeja,7.94
Carnes,"Estofado de cerdo, ideal para guisos",5.99
Carnes,Bandeja con preparado de carne picada de vacuno ROLER 800 g.,8.99
Carnes,"Solomillo fresco de cerdo blanco, especial barbacoa, asados o freir",7.99
